latitude,longitude,population
36.365,6.61472,450097
23.36306,104.25047,450000
36.56583,139.88361,449865
25.87972,-97.50417,449815
37.16708,38.79392,449549
40.9725,117.93611,449325
34.01667,113.81667,449258
33.23806,131.6125,448907
19.44286,-99.09724,447459
-31.5375,-68.53639,447048
53.38297,-1.4659,447047
56.13222,47.25194,446781
-26.21197,28.25958,445168
8.48222,124.64722,445103
33.83916,132.76574,443322
25.74167,-100.30222,443273
34.71667,135.41667,442173
18.54114,-72.39922,442156
22.83333,88.36667,441956
14.32944,120.93667,441876
38.35018,38.31667,441805
22.50833,88.21528,440894
4.81333,-75.69611,440118
11.24802,75.7804,439922
33.42227,-111.82264,439041
16.49051,97.62825,438861
36.85293,-75.97799,437994
-3.74912,-73.25383,437620
34.58333,133.76667,437581
41.10652,28.86847,436935
9.30143,13.39771,436899
37.98704,-1.13004,436870
-2.51667,32.9,436801
5.05127,7.9335,436606
48.26667,126.6,436444
8.72518,77.68452,435844
55.95206,-3.19648,435791
12.07689,15.03063,435547
20.5537,74.52881,435362
54.70649,20.51095,434954
32.61603,44.02488,434450
-1.36556,-48.37222,433956
-1.26753,116.82887,433866
43.68341,-79.76633,433806
43.60426,1.44367,433055
40.9983,71.67257,432456
12.99082,7.60177,432149
-27.97742,26.73506,431944
11.24079,-74.19904,431781
30.97063,31.1669,431052
51.45523,-2.59665,430713
21.01009,75.56843,429298
35.28361,139.66722,428992
20.70957,76.9981,428857
15.85212,74.50447,428720
31.78336,35.23388,428304
28.58023,121.37491,427890
53.25209,34.37167,427236
40.93567,29.15507,427040
19.48698,-99.18594,425298
19.53124,-96.91589,425148
10.13333,-64.7,424795
23.65396,116.62262,424787
7.62329,5.22087,424340
48.14816,17.10674,423737
24.79686,85.00385,423692
24.57117,73.69183,422784
-10.98303,26.7384,422414
25.69893,32.6421,422407
4.43889,-75.23222,421685
30.00237,120.57864,421283
56.99719,40.97139,420839
39.90861,41.27694,420691
7.25256,5.19312,420594
27.18096,31.18368,420585
-1.6,103.61667,420323
31.03637,31.38069,420195
33.749,-84.38798,420003
22.3458,82.69633,419146
23.78732,85.95622,418533
18.46633,-66.10572,418140
-10.71484,25.46674,418000
-36.86667,174.76667,417910
27.70516,68.85738,417767
12.91723,74.85603,417387
33.57167,114.03528,417356
38.83388,-104.82136,416427
42.3,69.6,414032
37.8575,113.56333,413394
53.41861,59.04722,413351
25.45446,78.58221,412927
-27.59667,-48.54917,412724
53.56667,10.1,411422
-23.96083,-46.33361,411403
9.74569,-63.18323,410972
38.2498,48.2933,410753
32.74472,129.87361,410204
41.57028,120.45861,410005
31.5,34.46667,410000
51.73733,36.18735,409431
41.25861,-95.93779,408958
24.19167,55.76056,408733
33.50972,126.52194,408364
8.9936,-79.51973,408168
32.56667,110.78333,408055
53.42894,14.55302,407811
10.94469,106.82432,407208
14.52694,-90.5875,406830
-19.76694,-44.08667,406802
34.81352,135.64914,406331
-8.65,115.21667,405923
34.68053,-1.90764,405253
30.78847,31.00192,404901
-27.75796,29.9318,404838
19.25785,-99.10513,404458
14.45363,79.98674,404158
24.80361,120.96861,404109
35.7721,-78.63861,403892
45.30109,130.95718,403759
-6.16394,39.19793,403658
24.99368,121.29696,402014
20.62445,-103.23423,401509
15.45099,36.39998,401477
39.56939,2.65024,401270
-12.80243,28.21323,400914
31.05799,46.25726,400249
56.85836,35.90057,400212
31.78199,35.21961,400000
35.54028,139.45083,399969
21.85563,111.96272,399735
25.77427,-80.19366,399457
49.42161,26.99653,398346
35.42291,136.76039,397714
11.11541,77.35456,397521
25.12825,121.7419,397515
41.4995,-81.69541,396815
35.25165,-3.93723,395644
53.48095,-2.23743,395515
49.10635,-122.82509,394976
-20.32972,-40.2925,394930
36.71,119.10194,394732
35.34194,139.47,394624
-12.95867,28.63659,394518
